subject,relation,object
Respiratory support in COVID-19,Suggested Focus,Reducing pulmonary stress
Respiratory support in COVID-19,Suggested Focus,Reducing Vascular stress
Respiratory support in COVID-19,Suggested Focus,Preventing edema
Respiratory support in COVID-19,Suggested Focus,Preventing lung injury
Respiratory support in COVID-19,Suggested Focus,Recruitment of functional lung units
Hydroxychloroquine,Function ,Hydroxychloroquine blocks entry of the virus in to human cells
Hydroxychloroquine blocks entry of the virus in to human cells,Mechanism,Proteolytic processing
Hydroxychloroquine blocks entry of the virus in to human cells,Mechanism,Inhibiting glycosylation of host receptors
Hydroxychloroquine blocks entry of the virus in to human cells,Mechanism,Acidification inside endosomes
Hydroxychloroquine,Function ,Hydroxychloroquine may have immunomodulatory effects
Hydroxychloroquine may have immunomodulatory effects,Mechanism,Blockage of autophagy
Hydroxychloroquine may have immunomodulatory effects,Mechanism,Lysosomal activity in host cells
Hydroxychloroquine may have immunomodulatory effects,Mechanism,Dissipating cytokine production and inhibition
Chloroquine,Function ,Chloroquine blocks entry of the virus in to human cells
Chloroquine blocks entry of the virus in to human cells,Mechanism,Proteolytic processing
Chloroquine blocks entry of the virus in to human cells,Mechanism,Inhibiting glycosylation of host receptors
Chloroquine blocks entry of the virus in to human cells,Mechanism,Acidification inside endosomes
Chloroquine,Function ,Chloroquine may have immunomodulatory effects
Chloroquine may have immunomodulatory effects,Mechanism,Blockage of autophagy
Chloroquine may have immunomodulatory effects,Mechanism,Lysosomal activity in host cells
Chloroquine may have immunomodulatory effects,Mechanism,Dissipating cytokine production and inhibition
Azithromycin,Feature,Antibacterial macrolide
Azithromycin,Mechanism of Action ,Binding to 50s ribosomal subunit and inhibition of messenger RNA directed polypeptide synthesis
Azithromycin,Pros ,Shown to Inhibit Replication in Zika and Ebola viruses
Shown to Inhibit Replication in Zika and Ebola viruses,Linked to ,Zika Virus
Shown to Inhibit Replication in Zika and Ebola viruses,Linked to ,Ebola Virus
Chloroquine,Pros,Relatively well tolerated
Chloroquine,Use ,Systemic lupus erythematosus (SLE)
Chloroquine,Use ,Malaria
Chloroquine,Possible adverse effects,Hypoglycemia
Chloroquine,Possible adverse effects,Retinopathy
Chloroquine,Possible adverse effects,Psychiatric effects
Chloroquine,Possible adverse effects,QTc prolongation
Hydroxychloroquine,Pros,Relatively well tolerated
Hydroxychloroquine,Use ,Systemic lupus erythematosus (SLE)
Hydroxychloroquine,Use ,Malaria
Hydroxychloroquine,Possible adverse effects,Hypoglycemia
Hydroxychloroquine,Possible adverse effects,Retinopathy
Hydroxychloroquine,Possible adverse effects,Psychiatric effects
Hydroxychloroquine,Possible adverse effects,QTc prolongation
Hydroxychloroquine,Effectiveness,Hydroxychloroquine shown effective in combination with Azithromycin
Azithromycin,Effectiveness,Hydroxychloroquine shown effective in combination with Azithromycin
Hydroxychloroquine shown effective in combination with Azithromycin,Study ,"Gautret et al concluded that combination therapy with azithromycin and hydroxychloroquine cured 100% of patients virologically on day 6 compared to 57.1% in patients treated with hydroxychloroquine only, and 12.5% in the control group"
"Gautret et al concluded that combination therapy with azithromycin and hydroxychloroquine cured 100% of patients virologically on day 6 compared to 57.1% in patients treated with hydroxychloroquine only, and 12.5% in the control group",Research Paper,COVID-WHO
Hydroxychloroquine,Effectiveness,Hydroxychloroquine found to be more harmful because of its side effects
Hydroxychloroquine,Proposed Dose for COVID-19,"400 mg twice daily orally for two doses, then 400 mg daily orally for a total of 5 days"
Chloroquine,Proposed Dose for COVID-19,"1 g on day 1, then 500 mg daily for 4 - 7 days total"
Remdesivir,Another Name,GS-5734
Remdesivir,Feature,Adenosine monophosphate prodrug
Remdesivir,Mechanism of Action ,"Metabolizes to an active C-adenosine nucleoside triphosphate analog, thereby interfering with the action of viral RNA-dependent RNA polymerase"
"Metabolizes to an active C-adenosine nucleoside triphosphate analog, thereby interfering with the action of viral RNA-dependent RNA polymerase",Research Paper,COVID-WHO
Remdesivir,Year of Discovery,2015
Remdesivir,Discovered During ,Process of finding antimicrobials with activity against RNA viruses
Remdesivir,Pros,Initially used for Ebola treatment
Remdesivir,Pros,Shown promising results in animals’ studies with MERS
Remdesivir,Pros,Shown promising results in animals’ studies with SARS
Remdesivir,Received,EUA by FDA for use in patients hospitalized with COVID-19 based on a clinical trial
Remdesivir,Pros,"Accelerated the recovery time by 31%, from 15 days to 11 days in patients who received treatment with it, according to a clinical trial"
"Accelerated the recovery time by 31%, from 15 days to 11 days in patients who received treatment with it, according to a clinical trial",Research Paper,COVID-WHO
Remdesivir,Pros,Reduced the mortality from 11% to 8% in a clinical trial
Remdesivir,Side Effects ,Nausea
Remdesivir,Side Effects ,Vomiting
Remdesivir,Side Effects ,Reversible rise in aspartate aminotransferase and alanine transaminase
Reversible rise in aspartate aminotransferase and alanine transaminase,Linked to ,Aspartate aminotransferase
Reversible rise in aspartate aminotransferase and alanine transaminase,Linked to,Alanine transaminase
Remdesivir,Proposed Dose for COVID-19,"Single 200 mg loading dose, followed by 100 mg daily infusion"
Remdesivir,Proposed Dose for COVID-19,"Under EUA, the recommended dosing duration for patients requiring invasive mechanical ventilation and/or ECMO, and for patients not requiring invasive mechanical ventilation and/or ECMO is 10 days and 5 days, respectively."
"Under EUA, the recommended dosing duration for patients requiring invasive mechanical ventilation and/or ECMO, and for patients not requiring invasive mechanical ventilation and/or ECMO is 10 days and 5 days, respectively.",Linked to ,ECMO
ECMO ,Full Form ,Extracorporeal membrane oxygenation
Remdesivir,Proposed Dose for COVID-19,Therapy is not recommended in patients with an estimated glomerular filtration rate less than 30 mL/min.
Therapy is not recommended in patients with an estimated glomerular filtration rate less than 30 mL/min.,Linked to ,Glomerular filtration rate
Favipiravir,Action ,Inhibits influenza viral replications by targeting RNA polymerase
Inhibits influenza viral replications by targeting RNA polymerase,Linked to ,RNA polymerase
Favipiravir,Feature,Generic version of brand Avigan
Generic version of brand Avigan,Linked to ,Avigan
Favipiravir,Use,For treating novel influenza infections in Japan
Favipiravir,Side Effects ,Decreased neutrophil count
Decreased neutrophil count,Linked to ,Neutrophil
Favipiravir,Side Effects ,Diarrhea
Favipiravir,Side Effects ,Increased uric acid levels
Favipiravir,Side Effects ,Elevated transaminases
Elevated transaminases,Linked to ,Transaminase
Favipiravir,Proposed dose for COVID-19,"Recommended dosing is 2,400 to 3,000 mg loading dose every 12 h for two doses, followed by 1,200 to 1,800 mg twice a day as maintenance dose"
IL-6,Observation ,Elevated levels found in the blood of COVID-19 patients
IL-6,Attribute,Proinflammatory cytokine
IL-6,Function ,"Binds to both soluble IL-6 receptor (sIL-6R) and membrane-bound IL-6R (mIL-6R).The resulting complex activates an inflammatory response through interaction with transducing component glycoprotein 130 (gp130), which can result in a cytokine storm."
"Binds to both soluble IL-6 receptor (sIL-6R) and membrane-bound IL-6R (mIL-6R).The resulting complex activates an inflammatory response through interaction with transducing component glycoprotein 130 (gp130), which can result in a cytokine storm.",Function ,Soluble IL-6 receptor (sIL-6R)
"Binds to both soluble IL-6 receptor (sIL-6R) and membrane-bound IL-6R (mIL-6R).The resulting complex activates an inflammatory response through interaction with transducing component glycoprotein 130 (gp130), which can result in a cytokine storm.",Function ,Membrane-bound IL-6R (mIL-6R)
"Binds to both soluble IL-6 receptor (sIL-6R) and membrane-bound IL-6R (mIL-6R).The resulting complex activates an inflammatory response through interaction with transducing component glycoprotein 130 (gp130), which can result in a cytokine storm.",Function ,Glycoprotein 130
IL-6 inhibitor,Example,Sarilumab
IL-6 inhibitor,Example,Tocilizumab
Sarilumab,Mechanism of Action ,"Binds specifically to sIL-6R and mIL-6R, and blocks signal transduction."
"Binds specifically to sIL-6R and mIL-6R, and blocks signal transduction.",Linked to ,sIL-6R
"Binds specifically to sIL-6R and mIL-6R, and blocks signal transduction.",Linked to ,mIL-6R
"Binds specifically to sIL-6R and mIL-6R, and blocks signal transduction.",Linked to ,Signal transduction
Tocilizumab,Mechanism of Action ,"Binds specifically to sIL-6R and mIL-6R, and blocks signal transduction."
Sarilumab,Pros ,Helps by diminishing the effect of an overactive cytokine system.
Tocilizumab,Pros ,Helps by diminishing the effect of an overactive cytokine system.
Sarilumab,Precautions,"New-onset abdominal symptoms should be monitored as there were reported cases of GI perforation, specifically in patients with a history of diverticulosis."
"New-onset abdominal symptoms should be monitored as there were reported cases of GI perforation, specifically in patients with a history of diverticulosis.",Linked to ,GI perforation
"New-onset abdominal symptoms should be monitored as there were reported cases of GI perforation, specifically in patients with a history of diverticulosis.",Linked to,Diverticulosis
Sarilumab,Precautions,Baseline lipid panel and liver function testing should also be done as this drug might elevate these parameters significantly.
Tocilizumab,Precautions,"New-onset abdominal symptoms should be monitored as there were reported cases of GI perforation, specifically in patients with a history of diverticulosis."
Tocilizumab,Precautions,Baseline lipid panel and liver function testing should also be done as this drug might elevate these parameters significantly.
Lopinavir/ritonavir,Mechanism of Action ,"The lopinavir component binds to the site of viral protease activity and inhibits the cleavage of viral Gag-Pol polyprotein precursors into individual functional proteins required for infectious human immunodeficiency virus (HIV). This results in the formation of immature, noninfectious viral particles. The ritonavir component inhibits the cytochrome P450 3A (CYP3A) metabolism of lopinavir, allowing increased plasma levels of lopinavir."
"The lopinavir component binds to the site of viral protease activity and inhibits the cleavage of viral Gag-Pol polyprotein precursors into individual functional proteins required for infectious human immunodeficiency virus (HIV). This results in the formation of immature, noninfectious viral particles. The ritonavir component inhibits the cytochrome P450 3A (CYP3A) metabolism of lopinavir, allowing increased plasma levels of lopinavir.",Linked to ,Gag-Pol polyprotein
"The lopinavir component binds to the site of viral protease activity and inhibits the cleavage of viral Gag-Pol polyprotein precursors into individual functional proteins required for infectious human immunodeficiency virus (HIV). This results in the formation of immature, noninfectious viral particles. The ritonavir component inhibits the cytochrome P450 3A (CYP3A) metabolism of lopinavir, allowing increased plasma levels of lopinavir.",Linked to,Human immunodeficiency virus
"The lopinavir component binds to the site of viral protease activity and inhibits the cleavage of viral Gag-Pol polyprotein precursors into individual functional proteins required for infectious human immunodeficiency virus (HIV). This results in the formation of immature, noninfectious viral particles. The ritonavir component inhibits the cytochrome P450 3A (CYP3A) metabolism of lopinavir, allowing increased plasma levels of lopinavir.",Linked to,Cytochrome P450 3A (CYP3A)
Lopinavir/ritonavir,Pros,Widely and successfully used in HIV management
Lopinavir/ritonavir,Pros,Shown some effect in the in vitro model for MERS and SARS treatment.
Lopinavir/ritonavir,Side Effects ,Asthenia
Lopinavir/ritonavir,Side Effects ,Diarrhea
Lopinavir/ritonavir,Side Effects ,Nausea
Lopinavir/ritonavir,Side Effects ,"Elevated total bilirubin, hepatic enzyme levels, and triglycerides"
"Elevated total bilirubin, hepatic enzyme levels, and triglycerides",Linked to ,Bilirubin
"Elevated total bilirubin, hepatic enzyme levels, and triglycerides",Linked to ,Hepatic enzyme
"Elevated total bilirubin, hepatic enzyme levels, and triglycerides",Linked to ,Triglycerides
Lopinavir/ritonavir,Proposed dose for COVID-19,400 mg/100 mg twice daily for up to 14 days
Histamine,Effects ,Pleiotropic effects on the immune system from different natures of its receptors
Pleiotropic effects on the immune system from different natures of its receptors,Linked to ,Pleiotropic effect
Histamine,Effects ,Immunomodulation resulting in sepsis (noticed in diabetic mice)
Immunomodulation resulting in sepsis (noticed in diabetic mice),Linked to ,Immunomodulation
Immunomodulation resulting in sepsis (noticed in diabetic mice),Linked to ,Sepsis 
Immunomodulation resulting in sepsis (noticed in diabetic mice),Impact of Histamine Levels,Happens through decreased neutrophil recruitment and impaired oxidative burst from elevated histamine levels
Happens through decreased neutrophil recruitment and impaired oxidative burst from elevated histamine levels,Linked to ,Neutrophil
Histamine 2 receptor antagonist (H2RA),Mechanism of Action ,Blocks immunosuppressive effects of histamine
Histamine 2 receptor antagonist (H2RA),Mechanism of Action ,Stimulates the functions of T and B white cells
Stimulates the functions of T and B white cells,Linked to ,T cell
Stimulates the functions of T and B white cells,Linked to ,B cell
H2RA,Full Form ,Histamine 2 receptor antagonist
Histamine 2 receptor antagonist,Antiviral effects,"Demonstrated in patients with herpes zoster infection, herpes simplex virus (HSV), and human papillomavirus (HPV)"
HSV,Full Form ,Herpes simplex virus
HPV,Full Form ,Human papillomavirus
"Demonstrated in patients with herpes zoster infection, herpes simplex virus (HSV), and human papillomavirus (HPV)",Linked to,Herpes simplex virus
"Demonstrated in patients with herpes zoster infection, herpes simplex virus (HSV), and human papillomavirus (HPV)",Linked to,Human papillomavirus
Cimetidine,Effect,Increased immunogenicity when given as an adjuvant along with HBV viral vaccines
Increased immunogenicity when given as an adjuvant along with HBV viral vaccines,Linked to,Immunogenicity
Increased immunogenicity when given as an adjuvant along with HBV viral vaccines,Linked to,Adjuvant
Cimetidine,Effect,Decreased HIV replication in vitro
Histamine 2 receptor antagonist,Cons,No conclusive data are supporting how H2RA helps against COVID-19
Histamine 2 receptor antagonist,Proposed dose for COVID-19,Standard dose to treat gastroesophageal reflux disease
Standard dose to treat gastroesophageal reflux disease,Linked to ,Gastroesophageal reflux disease
IFN-beta,Feature,"Subtype of type I IFN secreted by many cell types, mostly by plasmacytoid dendritic cells upon recognition of viral components by pattern recognition receptors (PRR)"
"Subtype of type I IFN secreted by many cell types, mostly by plasmacytoid dendritic cells upon recognition of viral components by pattern recognition receptors (PRR)",Linked to,Type I IFN
"Subtype of type I IFN secreted by many cell types, mostly by plasmacytoid dendritic cells upon recognition of viral components by pattern recognition receptors (PRR)",Linked to,PRR
PRR,Full Form ,Pattern Recognition Receptor
IFN-stimulated genes (ISG),Function ,Involved in inflammation and immunomodulation
Involved in inflammation and immunomodulation,Function ,Inflammation
Involved in inflammation and immunomodulation,,Immunomodulation
IFN-stimulated genes (ISG),Function ,Interfere with viral replication and viral spread through different pathways like cytokine secretion or slowdown of cell metabolism
IFN-beta,Recommendation ,IFN-beta is the most relevant IFN-I that should be given as early as possible to optimize antiviral therapy and avoid complications from the virus
CP,Full Form ,Convalescent Plasma
Convalescent Plasma,Another Name,Plasma collected from donors who have successfully survived an infectious disease by generating antibodies
Convalescent Plasma,Used in treatment for ,Measles
Convalescent Plasma,Used in treatment for ,Polio
Convalescent Plasma,Used in treatment for ,Chickenpox
Convalescent Plasma,Used in treatment for ,SARS-CoV-1 epidemic
Convalescent Plasma,Used in treatment for ,H1N1 influenza pandemic (H1N1)
Convalescent Plasma,Used in treatment for ,Avian influenza A (H5N1)
Convalescent Plasma,Used in treatment for ,Ebola
Convalescent Plasma,Used in treatment for ,MERS-CoV epidemic
Convalescent Plasma,Mechanism of Action ,"Antibodies in the CP could potentially limit the viral replication, can mediate cellular toxicity and/or phagocytosis"
"Antibodies in the CP could potentially limit the viral replication, can mediate cellular toxicity and/or phagocytosis",Linked to ,Phagocytosis
Convalescent Plasma,Mechanism of Action ,"Plasma components can exert vital clinical effects such as replacing the coagulation factors, complement activation."
Convalescent Plasma,Features,May potentially offer only short-term strategy to confer immediate immunity to infection susceptible patients
Convalescent Plasma,Potential Donor,"A person who has tested positive for COVID-19 and recovered with no symptoms for 14 days could be a potential donor in the presence of high enough antibody levels in the plasma and negative for possible infections such as HIV, hepatitis C, etc. The donor and the recipient should have compatible blood groups."
Steroid or IL-6R blocking antibodies,Benefecial for ,Managing cytokine storm
Blood Purification Therapy,Plasma adsorption/therapeutic plasma exchange,Proven in the setting of sepsis
Rheumatic disease,Drug used in Treatment,Tocilizumab
Rheumatic disease,Drug used in Treatment,Sarilumab
Rheumatic disease,Drug used in Treatment,Anakinra
Rheumatoid arthritis,Drug used in Treatment,bDMARDs
bDMARDs,Full Form ,Biological derived diseasemodifying anti-rheumatic drugs
Rheumatoid arthritis,Drug used in Treatment,tsDMARDs
tsDMARDs,Full Form ,Targeted synthetic disease-modifying anti-rheumatic drugs
Rheumatoid arthritis,Example Treatment ,Tumor necrosis factor inhibitors
Spondyloarthritis,Drug used in Treatment,bDMARDs
bDMARDs,Full Form ,Biological derived diseasemodifying anti-rheumatic drugs (bDMARDs)
Spondyloarthritis,Drug used in Treatment,tsDMARDs
tsDMARDs,Full Form ,Targeted synthetic disease-modifying anti-rheumatic drugs
Spondyloarthritis,Example Treatment ,Tumor necrosis factor inhibitors
Tacrolimus,One of most commonly used drugs for,Maintenance immunosuppression following solid-organ transplantation
Maintenance immunosuppression following solid-organ transplantation,Linked to ,Maintenance immunosuppression
Cyclosporine,One of most commonly used drugs for,Maintenance immunosuppression following solid-organ transplantation
Tacrolimus,Reduces Production of ,IL2
Cyclosporine,Reduces Production of ,IL2
IL2,Feature ,"Regulator of proliferation, survival, and maturation for all T cell populations"
Lymphopenia,Observed in ,Severe cases of COVID-19
Lymphopenia,Possible Cause ,Lung sequestration of hyperactivated T cell
Lung sequestration of hyperactivated T cell,Linked to ,Lung sequestration
Lung sequestration of hyperactivated T cell,Linked to,T cell
Kidney transplant patients,COVID-19 Effect ,"In a limited cohort of kidney transplant patients, COVID-19 induced pneumonia is characterized by a high risk of progression and significant mortality."
ESKD,Full Form ,End-stage Kidney Disease
ESKD,Patients susceptibility to COVID-19,Significant risk of infection due to suppression of the immune system
Hong Kong COVID-19 clinical trial,Active intervention group,"Treated with IFN beta-1b,lopinavir/ritonavir,ribavirin"
"Treated with IFN beta-1b,lopinavir/ritonavir,ribavirin",Linked to ,IFN beta-1b
"Treated with IFN beta-1b,lopinavir/ritonavir,ribavirin",Linked to ,Lopinavir
"Treated with IFN beta-1b,lopinavir/ritonavir,ribavirin",Linked to,Ritonavir
"Treated with IFN beta-1b,lopinavir/ritonavir,ribavirin",Linked to,Ribavirin
Hong Kong COVID-19 clinical trial,Active intervention group,Had viral clearance at an average of 7 days
Hong Kong COVID-19 clinical trial,Control group ,Treated with lopinavir/ritonavir
Treated with lopinavir/ritonavir,Linked to,Lopinavir
Treated with lopinavir/ritonavir,Linked to,Ritonavir
Hong Kong COVID-19 clinical trial,Control group ,Had viral clearance at an average of 12 days
Peer-to-peer tracking platform,Example,Trace together
Peer-to-peer tracking platform,Example,Covidnearyou.org
